#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:mean	ci-width:mean	ci-miss-rate
rationalPower1,2,8,1	5722	313814094	CMS	subsecond	months	0.000010	0.012000	0.000047	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	subsecond	years	0.000000	0.003000	0.000000	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	seconds	seconds	0.039176	0.000005	0.256423	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	seconds	minutes	0.004018	0.000078	0.014474	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	seconds	hours	0.000469	0.000245	0.002125	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	seconds	days	0.000049	0.000975	0.000255	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	seconds	months	0.000010	0.002428	0.000047	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	seconds	years	0.000000	0.002000	0.000000	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	minutes	seconds	0.216230	0.000003	1.234248	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	minutes	minutes	0.009616	0.000020	0.044364	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	minutes	hours	0.000573	0.000220	0.002610	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	minutes	days	0.000051	0.000891	0.000249	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	minutes	months	0.000009	0.003003	0.000042	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	hours	seconds	0.362831	0.000004	1.788491	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	hours	minutes	0.024315	0.000007	0.125268	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	hours	hours	0.000972	0.000055	0.004990	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	hours	days	0.000056	0.000762	0.000285	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	hours	months	0.000008	0.002174	0.000043	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	days	seconds	0.454831	0.000001	1.915002	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	days	minutes	0.053364	0.000011	0.263553	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	days	hours	0.002773	0.000016	0.013296	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	days	days	0.000102	0.000350	0.000490	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	days	months	0.000010	0.001956	0.000050	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	months	seconds	0.438893	0.000002	1.925459	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	months	minutes	0.069892	0.000003	0.347456	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	months	hours	0.006565	0.000004	0.030869	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	months	days	0.000260	0.000072	0.001172	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	months	months	0.000023	0.001288	0.000119	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	years	seconds	0.000101	0.000000	2.000000	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	subsecond	seconds	0.013039	0.000051	0.037027	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	subsecond	minutes	0.001972	0.001085	0.011570	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	subsecond	hours	0.000401	0.000522	0.001412	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	subsecond	days	0.000038	0.001517	0.000198	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	subsecond	months	0.000011	0.007182	0.000035	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	subsecond	years	0.000000	0.026000	0.000000	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	seconds	seconds	0.029568	0.000014	0.175203	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	seconds	minutes	0.002976	0.000186	0.009917	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	seconds	hours	0.000380	0.000615	0.001593	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	seconds	days	0.000040	0.001898	0.000204	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	seconds	months	0.000008	0.006197	0.000036	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	seconds	years	0.000000	0.007000	0.000000	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	minutes	seconds	0.173373	0.000019	1.043871	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	minutes	minutes	0.007397	0.000060	0.031741	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	minutes	hours	0.000437	0.000536	0.001972	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	minutes	days	0.000039	0.001969	0.000195	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	minutes	months	0.000007	0.005006	0.000035	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	hours	seconds	0.357764	0.000003	1.761410	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	hours	minutes	0.018617	0.000008	0.099476	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	hours	hours	0.000762	0.000161	0.003602	0.000000
rationalPower1,2,16,1	9024	313814094	CMS	hours	days	0.000046	0.001391	0.000223	0.000000
